# Sheet: Version November 1, 2024
Part | Section | Abbreviations in Presentation | 英文 | 中文解释
1 | Introduction | Introduction | Introduction | 介绍
Always In Long | AIL | Always In Long | 一直看多：市场处于强烈的多头趋势，交易者应一直保持多头头寸。
Always In Long, 3 Bear Bars Were Bull Flag | AIL 3 BRB | Always In Long, 3 Bear Bars Were Bull Flag | 一直看多，三根熊市K线形成多头旗形：虽然有三个下跌的K线，但它们构成了一个多头旗形，预示着价格有继续上涨的潜力。
Always In Short | AIS | Always In Short | 一直看空：市场处于强烈的空头趋势，交易者应一直保持空头头寸。
Always In Short, 3 Bull Bars Were Bear Flag | AIS 3 BRB | Always In Short, 3 Bull Bars Were Bear Flag | 一直看空，三根牛市K线形成空头旗形：虽然有三个上涨的K线，但它们构成了一个空头旗形，预示着价格可能继续下跌。
All Time High Buy Climax | ATH BX | All Time High Buy Climax | 历史新高买入顶点：价格达到了历史新高，通常意味着市场过度买入，可能会出现回调。
Bankruptcy | Bankruptcy | Bankruptcy | 破产：指市场或某个特定的股票、商品等经历了严重的下跌，可能导致公司破产或其他财务问题。
Bar Counting | Bar Counting | Bar Counting | K线计数：通过观察一定数量的K线（例如18根）来分析市场的行为模式。
Bar Numbers | Bar Numbers | Bar Numbers | K线数字：关注每根K线的位置或编号，用以识别趋势或反转信号。
Big Down, Big Up | BDBU | Big Down, Big Up | 大跌大涨：市场经历了剧烈的下跌和上涨，通常意味着市场情绪极度波动。
Big Down, Big Up, Big Down | BDUD | Big Down, Big Up, Big Down | 大跌大涨再大跌：市场经历了多个阶段的剧烈波动，可能意味着市场不确定性增加，或进入整理阶段。
Big Round Number | Big Round Number | Big Round Number | 大圆整数字：价格接近一个整数的关口（例如1000、500等），这些区域通常会引发买卖的激烈反应。
Bull Trend Began before Bear Trend Ended | BL Began before BR ended | Bull Trend Began before Bear Trend Ended | 牛市在熊市结束之前开始：在空头趋势未完全结束之前，牛市已经开始形成，预示着市场可能发生趋势逆转。
Bear BO of 18 Bar Range | BO 18 D | Bear BO of 18 Bar Range | 18根K线范围内的空头突破：市场在18根K线的区间内突破下行，暗示空头趋势可能加速。
Failed Bear BO of 18 Bar Range | BO 18 D F | Failed Bear BO of 18 Bar Range | 18根K线范围内的空头突破失败：尽管市场试图突破，但未能持续下行，通常预示着空头力量减弱。
BO below Then above 18 Bar Range | BO 18 D U | BO below Then above 18 Bar Range | 18根K线范围下方突破后回升：价格先下跌突破18根K线的底部，然后回升到区间上方，可能意味着市场出现反转。
BO of 18 Bar Range, below, above, and Back Below | BO 18 D U D | BO of 18 Bar Range, below, above, and Back Below | 18根K线范围突破，先下后上再下：市场先突破区间下方后回升，又再度跌破，通常是一个震荡区间的信号。
Bull BO of 18 Bar Range | BO 18 U | Bull BO of 18 Bar Range | 18根K线范围内的多头突破：市场在18根K线的区间内突破上行，暗示多头趋势可能加速。
Failed Bull BO of 18 Bar Range | BO 18 U F | Failed Bull BO of 18 Bar Range | 18根K线范围内的多头突破失败：尽管市场试图突破，但未能维持上涨，暗示多头力量减弱。
BO above Then below 18 Bar Range | BO 18 U D | BO above Then below 18 Bar Range | 18根K线范围上方突破后回落：价格先突破区间上方后回落到区间下方，通常预示着市场可能进入调整或震荡。
